Customer Number,rows,tm_spend_sum,tm_spend_mean,avg_l4m_mean
6200634772,1,0,0,1247
6201148057,1,0,0,1585
6202404371,1,0,0,2079
6202676363,1,0,0,1263
6202921948,1,0,0,1699
6202991266,1,0,0,1503
6203536350,1,0,0,3894
6203944537,1,0,0,2595
6205116122,1,0,0,1151
6205326548,1,82,82,2335
6205683689,1,0,0,2625
6205716096,1,576,576,1642
6205870502,1,458,458,1094
6206017489,1,35,35,1462
6206948350,1,0,0,1305
6207183471,1,173,173,1928
6209835061,1,0,0,1427
6370613841,1,0,0,1761
6393052447,1,244,244,1110
6394102877,1,0,0,2013
7001289785,1,638,638,1416
7004273670,1,0,0,1766
7004590752,1,0,0,1435
7004780851,1,0,0,2003
7006215196,1,0,0,1074
7051003736,1,0,0,1341
7061350074,1,535,535,1384
7070922056,1,0,0,1358
7091570221,1,0,0,3803
7091806228,1,0,0,2051
7091912580,1,0,0,1171
7209835061,1,0,0,1335
7320878342,1,0,0,3420
7321811587,1,0,0,1569
7461973432,1,0,0,1009
7462099126,1,328,328,1361
7482989371,1,0,0,1179
7488022393,1,0,0,3375
7488077828,1,169,169,1940
7488117484,1,0,0,1141
7488157173,1,0,0,1356
7488946383,1,912,912,1133
7542021502,1,0,0,3018
7549433113,1,0,0,4263
7631400009,1,0,0,1946
7667327450,1,0,0,1337
7667636538,1,0,0,1511
7707022014,1,0,0,1161
7781048589,1,0,0,1220
7857926888,1,513,513,1563
7870288343,1,0,0,1764
7873091784,1,305,305,1169
7894853421,1,636,636,1481
7896541236,1,0,0,1887
7903204356,1,0,0,1393
7903308788,1,0,0,1094
7903708408,1,0,0,1025
7903985114,1,0,0,1504
7979839548,1,0,0,1112
7991191640,1,0,0,1310
8051210632,1,0,0,1381
8092641101,1,0,0,2983
8102309005,1,0,0,1916
8102639224,1,982,982,1016
8102738177,1,0,0,1033
8117054530,1,0,0,1322
8210441632,1,0,0,1225
8210499156,1,0,0,1876
8210763730,1,190,190,2275
8234040076,1,0,0,1773
8235318996,1,0,0,4480
8240331025,1,0,0,1075
8249180533,1,0,0,1410
8252190771,1,0,0,3179
8252850030,1,0,0,1390
8271740579,1,0,0,2174
8292821623,1,0,0,2374
8294245064,1,0,0,1277
8294548712,1,0,0,1825
8340239287,1,924,924,1322
8340482510,1,35,35,1098
8521331773,1,0,0,1011
8541976118,1,0,0,2447
8556879236,1,0,0,1105
8603992982,1,96,96,1878
8709135305,1,0,0,1155
8709520284,1,278,278,1431
8709593938,1,0,0,1406
8789185235,1,824,824,1130
8789291260,1,0,0,1002
8789331832,1,370,370,1262
8789661484,1,0,0,1428
8789681524,1,754,754,1084
8789847766,1,0,0,1122
8809007335,1,159,159,1551
8825336046,1,62,62,2340
8839193400,1,0,0,1350
8986699092,1,0,0,1346
9031919091,1,0,0,1005
9122077775,1,0,0,1200
9142888869,1,0,0,1460
9153539133,1,0,0,1441
9155493428,1,585,585,2169
9155590061,1,0,0,1017
9155800458,1,0,0,1984
9234880139,1,625,625,1060
9241080847,1,0,0,2425
9304064258,1,365,365,1295
9304480249,1,0,0,4436
9304525197,1,0,0,1780
9308692578,1,0,0,1014
9334283190,1,0,0,1280
9334433629,1,0,0,2149
9334767620,1,705,705,2387
9341585663,1,0,0,1105
9350401545,1,0,0,1164
9386459518,1,0,0,2301
9430112582,1,0,0,1407
9430385385,1,0,0,1093
9431195143,1,0,0,1910
9431326688,1,78,78,3096
9431700066,1,0,0,1542
9431736333,1,0,0,1203
9470137369,1,609,609,1169
9470561628,1,788,788,1185
9506087821,1,966,966,1072
9523361246,1,0,0,3297
9534055910,1,0,0,1937
9570610045,1,0,0,1214
9571896107,1,0,0,1251
9572216111,1,0,0,1336
9572670259,1,530,530,1859
9572837710,1,0,0,1569
9576117148,1,225,225,1531
9588874158,1,0,0,1186
9608105480,1,0,0,1129
9661275872,1,0,0,1335
9661511126,1,659,659,1763
9693229016,1,0,0,1308
9693942993,1,0,0,1570
9695199562,1,0,0,1351
9798676533,1,473,473,1493
9801356375,1,0,0,1135
9806227080,1,616,616,2612
9832164711,1,0,0,1715
9835066793,1,0,0,1806
9835123171,1,0,0,3077
9835144246,1,0,0,1422
9835343620,1,281,281,1243
9835395708,1,0,0,1156
9835549079,1,0,0,2499
9835590167,1,0,0,1383
9835707826,1,0,0,1256
9835725677,1,0,0,1340
9835756383,1,787,787,2048
9835901714,1,0,0,3436
9839155558,1,0,0,1394
9852250754,1,0,0,4347
9893234594,1,0,0,1057
9893589636,1,0,0,1027
9931503529,1,43,43,1074
9931635593,1,0,0,1400
9934173392,1,0,0,1874
9934464215,1,0,0,2734
9939485262,1,0,0,1128
9999999999,1,0,0,7929
